name,shape,in_dim,out_dim,act_input_source,distribution,quantizer,risk,notes
layers.0.blocks.0.attn.qkv,"(288, 96)",96,288,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.0.blocks.0.attn.proj,"(96, 96)",96,96,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.0.blocks.0.mlp.fc1,"(384, 96)",96,384,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.0.blocks.0.mlp.fc2,"(96, 384)",384,96,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.0.blocks.1.attn.qkv,"(288, 96)",96,288,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.0.blocks.1.attn.proj,"(96, 96)",96,96,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.0.blocks.1.mlp.fc1,"(384, 96)",96,384,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.0.blocks.1.mlp.fc2,"(96, 384)",384,96,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.1.downsample.reduction,"(192, 384)",384,192,LayerNorm(downsample.norm).out (concatenated 2x2 patches),Gaussian-like but 4x channel concat → wider variance per channel,uniform-channel-A8 (if quantized),med,Cross-resolution; sensitive
layers.1.blocks.0.attn.qkv,"(576, 192)",192,576,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.1.blocks.0.attn.proj,"(192, 192)",192,192,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.1.blocks.0.mlp.fc1,"(768, 192)",192,768,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.1.blocks.0.mlp.fc2,"(192, 768)",768,192,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.1.blocks.1.attn.qkv,"(576, 192)",192,576,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.1.blocks.1.attn.proj,"(192, 192)",192,192,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.1.blocks.1.mlp.fc1,"(768, 192)",192,768,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.1.blocks.1.mlp.fc2,"(192, 768)",768,192,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.downsample.reduction,"(384, 768)",768,384,LayerNorm(downsample.norm).out (concatenated 2x2 patches),Gaussian-like but 4x channel concat → wider variance per channel,uniform-channel-A8 (if quantized),med,Cross-resolution; sensitive
layers.2.blocks.0.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.0.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.0.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.0.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.1.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.1.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.1.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.1.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.2.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.2.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.2.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.2.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.3.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.3.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.3.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.3.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.4.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.4.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.4.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.4.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.5.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.5.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.5.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.5.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.6.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.6.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.6.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.6.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.7.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.7.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
layers.2.blocks.7.mlp.fc1,"(1536, 384)",384,1536,LayerNorm(norm2).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.7.mlp.fc2,"(384, 1536)",1536,384,GELU.out,"asymmetric: tail in +, clipped at ~-0.17 in -",asymmetric-uniform-A4,med,GELU output has nonzero mean; needs asymmetric quantizer
layers.2.blocks.8.attn.qkv,"(1152, 384)",384,1152,LayerNorm(norm1).out,"Gaussian-like, near-zero-mean",uniform-layer-A4,low,Standard post-LN input; well-conditioned
layers.2.blocks.8.attn.proj,"(384, 384)",384,384,attn @ V (post-softmax aggregation),mixed; depends on attention sparsity,uniform-channel-A4,med,If softmax peaks (sparse attn) → outliers; channel-wise helps
